product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
High Drizzle,6,I like the sugary flavor of the frosting along with the softness of the cinnamon roll.,4,"Way too much cinnamon flavor, it leaves an aftertaste Im not a fan of.","['like', 'sugary', 'flavor', 'frost', 'along', 'softness', 'cinnamon', 'roll']","['way', 'much', 'cinnamon', 'flavor', 'leave', 'aftertaste', 'i\x92m', 'fan']",0.3612,-0.2411
Low Drizzle,7,This is a great sweet snack. I like the taste and sweetness.,5,"I like frosting, so I might drizzle a little more on","['great', 'sweet', 'snack', 'like', 'taste', 'sweetness']","['like', 'frost', 'might', 'drizzle', 'little']",0.9153,0.3612
Low Drizzle,3,Nothing,1,Add more frosting. Make it less like a cookie and more like a cinnamon roll. Cinnamon rolls are soft. Make it bigger.,['nothing'],"['add', 'frost', 'make', 'less', 'like', 'cookie', 'like', 'cinnamon', 'roll', 'cinnamon', 'roll', 'soft', 'make', 'big']",0,0.529
High Drizzle,3,Nothing,1,Add more frosting. Make bigger and softer.,['nothing'],"['add', 'frost', 'make', 'big', 'softer']",0,0
High Drizzle,7,Softness and freshness.,4,"Make a little fluffier, less dense.","['softness', 'freshness']","['make', 'little', 'fluffy', 'less', 'dense']",0,0
Low Drizzle,6,Softness,2,"More frosting, add sweetness.",['softness'],"['frost', 'add', 'sweetness']",0,0.5367
Low Drizzle,6,I enjoyed the flavor and strong cinnamon taste. I was also very pleased with the soft texture.,2,I would like it to look more like a traditional cinnamon roll and have less of a cookie texture.,"['enjoy', 'flavor', 'strong', 'cinnamon', 'taste', 'also', 'please', 'soft', 'texture']","['would', 'like', 'look', 'like', 'traditional', 'cinnamon', 'roll', 'less', 'cookie', 'texture']",0.8687,0.6124
High Drizzle,6,I liked the cinnamon flavor and soft chewy texture.,2,I wished it looked more like a traditional cinnamon roll. I also would prefer less frosting.,"['liked', 'cinnamon', 'flavor', 'soft', 'chewy', 'texture']","['wish', 'look', 'like', 'traditional', 'cinnamon', 'roll', 'also', 'would', 'prefer', 'less', 'frost']",0.4215,0.4201
High Drizzle,6,The chewiness of the cinnamon roll was a pleasant surprise.,4,"Reduce the amount of cinnamon flavor, I found it to be overpowering to the point of being unable to taste anything else.","['chewiness', 'cinnamon', 'roll', 'pleasant', 'surprise']","['reduce', 'amount', 'cinnamon', 'flavor', 'find', 'overpower', 'point', 'unable', 'taste', 'anything', 'else']",0.6597,0
Low Drizzle,8,The cinnamon roll was the perfect amount of sweetness without being overwhelming.,4,I would make it slightly more moist and make the cinnamon a little less visible. The cinnamon almost looked like raisins in this sample.,"['cinnamon', 'roll', 'perfect', 'amount', 'sweetness', 'without', 'overwhelm']","['would', 'make', 'slightly', 'moist', 'make', 'cinnamon', 'little', 'less', 'visible', 'cinnamon', 'almost', 'look', 'like', 'raisin', 'sample']",0.7845,0.3008
High Drizzle,4,The size; portable,2,Sweetness-much too sweet and the denseness.,"['size', 'portable']","['sweetnessmuch', 'sweet', 'denseness']",0,0.4588
Low Drizzle,2,The size,2,Make it less sweet and more flaky,['size'],"['make', 'less', 'sweet', 'flaky']",0,0.4033
Low Drizzle,5,"Soft, flavors were as expected from the picture.",3,"Texture was a little too gritty for me, more frosting flavor","['soft', 'flavor', 'expect', 'picture']","['texture', 'little', 'gritty', 'frost', 'flavor']",0,0
High Drizzle,8,"Really nice balance of flavors, soft, moist and chewiness that I would expect from a full size, fresh cinnamon roll.",4,Nothing,"['really', 'nice', 'balance', 'flavor', 'soft', 'moist', 'chewiness', 'would', 'expect', 'full', 'size', 'fresh', 'cinnamon', 'roll']",['nothing'],0.659,0
Low Drizzle,5,The taste and frosting were nice.,3,It needs to be fluffier with a better after taste.,"['taste', 'frosting', 'nice']","['need', 'fluffier', 'good', 'taste']",0.4215,0.4404
High Drizzle,7,Good cinnamon flavor and it was very moist.,3,It needs to be fluffier and a little bigger.,"['good', 'cinnamon', 'flavor', 'moist']","['need', 'fluffier', 'little', 'big']",0.4404,0
High Drizzle,8,"Bite size is very fun, love this for my kids or a quick breakfast on the go.",4,"Fluffier, a little bigger.","['bite', 'size', 'fun', 'love', 'kid', 'quick', 'breakfast', 'go']","['fluffier', 'little', 'big']",0.8431,0
Low Drizzle,8,"Great for on the go, great flavor, not too much frosting, could be a little thicker/fluffy.",4,Thicker/ fluffier,"['great', 'go', 'great', 'flavor', 'much', 'frosting', 'could', 'little', 'thickerfluffy']","['thicker', 'fluffier']",0.8481,0
Low Drizzle,4,Cinnamon taste and frosting,3,I would change the texture and the sizs,"['cinnamon', 'taste', 'frosting']","['would', 'change', 'texture', 'sizs']",0,0
