product,Question,Response,Sentiment Score,Response value,lemm
High Drizzle,Liking,Quantity of frosting,0,6,"['quantity', 'frosting']"
High Drizzle,Liking,Size and flavor,0,8,"['size', 'flavor']"
Low Drizzle,Liking,Size and flavor,0,8,"['size', 'flavor']"
Low Drizzle,Liking,It was grainy like sand and not smooth like soft chewy cinnamon rolls with frosty.  Not like the packaged cinnamon rolls need more of the roll or twist like you get when buy the baked cinnamon rolls,84.02,3,"['grainy', 'like', 'sand', 'smooth', 'like', 'soft', 'chewy', 'cinnamon', 'roll', 'frosty', 'like', 'package', 'cinnamon', 'roll', 'need', 'roll', 'twist', 'like', 'get', 'buy', 'baked', 'cinnamon', 'roll']"
High Drizzle,Liking,Taste,0,6,['taste']
High Drizzle,Liking,Texture,0,7,['texture']
Low Drizzle,Liking,The chewiness,0,5,['chewiness']
Low Drizzle,Liking,Had nice chew to roll.  Strong cinnamon flavor.  Nice and moist.,83.6,6,"['nice', 'chew', 'roll', 'strong', 'cinnamon', 'flavor', 'nice', 'moist']"
High Drizzle,Liking,Strong cinnamon flavor. Nice and chewy and soft.,72.69,6,"['strong', 'cinnamon', 'flavor', 'nice', 'chewy', 'soft']"
High Drizzle,Liking,I loved the concept but then when I saw the product in person I was somewhat confused and a little disappointed in that I thought they might be bigger and softer. Even though it clearly states they are mini!,-13.13,4,"['love', 'concept', 'saw', 'product', 'person', 'somewhat', 'confuse', 'little', 'disappointed', 'thought', 'might', 'big', 'softer', 'even', 'though', 'clearly', 'state', 'mini']"
Low Drizzle,Liking,"I like thats its Pillsbury, a name I trust. I like the thought of mini.",80.74,4,"['like', 'that\x92s', 'it\x92s', 'pillsbury', 'name', 'trust', 'like', 'thought', 'mini']"
Low Drizzle,Liking,I liked the crunchy cinnamon texture and the after taste. Its delicious,75.79,1,"['like', 'crunchy', 'cinnamon', 'texture', 'taste', 'it\x92s', 'delicious']"
High Drizzle,Liking,The cinnamon taste and crunch!,0,8,"['cinnamon', 'taste', 'crunch']"
High Drizzle,Liking,Nothing really. Tastes fake,41.37,4,"['nothing', 'really', 'taste', 'fake']"
Low Drizzle,Liking,Not as much frosting. Good cinnamon flavor,44.04,4,"['much', 'frosting', 'good', 'cinnamon', 'flavor']"
Low Drizzle,Liking,The sweet flavor and slight crunchiness of the frosting,45.88,7,"['sweet', 'flavor', 'slight', 'crunchiness', 'frosting']"
High Drizzle,Liking,The frosting flavor,0,7,"['frost', 'flavor']"
High Drizzle,Liking,"Good flavor, moist",44.04,6,"['good', 'flavor', 'moist']"
Low Drizzle,Liking,"More cinnamon flavor, tasty",0,7,"['cinnamon', 'flavor', 'tasty']"
Low Drizzle,Liking,"It tasted better than I anticipated. The texture was firmer than a roll, but softer than the appearance. Taste was nice. If it was marketed as a cinnamon roll cookie, I think that fits beter.",68.58,7,"['taste', 'well', 'anticipated', 'texture', 'firmer', 'roll', 'soft', 'appearance', 'taste', 'nice', 'market', 'cinnamon', 'roll', 'cookie', 'think', 'fit', 'beter']"
High Drizzle,Liking,Lots of frosting and moist.,0,6,"['lot', 'frost', 'moist']"
High Drizzle,Liking,"Its size snack that was satisfying, filling and had the right amount of sweetness.",73.51,8,"['it\x92s', 'size', 'snack', 'satisfy', 'fill', 'right', 'amount', 'sweetness']"
Low Drizzle,Liking,Less frosting felt like a healthier option for my family which I liked. But I felt like it didnt have enough overall flavor.,65.67,9,"['less', 'frost', 'felt', 'like', 'healthy', 'option', 'family', 'like', 'felt', 'like', 'didn\x92t', 'enough', 'overall', 'flavor']"
Low Drizzle,Liking,Cinnamon flavor,0,3,"['cinnamon', 'flavor']"
High Drizzle,Liking,Like the appearance of more frosting.  This sample was slightly softer.,36.12,6,"['like', 'appearance', 'frost', 'sample', 'slightly', 'soft']"
High Drizzle,Liking,The cinnamon flavor was great,62.49,8,"['cinnamon', 'flavor', 'great']"
Low Drizzle,Liking,"Easy to eat,  it messy",10.27,5,"['easy', 'eat', 'messy']"
Low Drizzle,Liking,I liked the texture. It wasnt quite what I expected it to be for a cinnamon roll but it worked. I was pleasantly surprised,81.26,7,"['liked', 'texture', 'wasn\x92t', 'quite', 'expect', 'cinnamon', 'roll', 'work', 'pleasantly', 'surprise']"
High Drizzle,Liking,I liked the amount of frosting. (I think kids always want the ones with the most frosting!) I also liked the texture.,73.45,7,"['liked', 'amount', 'frost', 'think', 'kid', 'always', 'want', 'one', 'frost', 'also', 'like', 'texture']"
High Drizzle,Liking,Very nice and even flavor,47.54,8,"['nice', 'even', 'flavor']"
Low Drizzle,Liking,Taste was good,44.04,6,"['taste', 'good']"
Low Drizzle,Liking,It had a really nice cinnamon flavor,47.54,8,"['really', 'nice', 'cinnamon', 'flavor']"
High Drizzle,Liking,It was exactly how chewy I would want it and had a great amount of frosting,65.97,9,"['exactly', 'chewy', 'would', 'want', 'great', 'amount', 'frosting']"
High Drizzle,Liking,Frosting was yummy!,57.07,6,"['frost', 'yummy']"
Low Drizzle,Liking,The flavor was powerful and fun  A mini sweet treat,89.57,8,"['flavor', 'powerful', 'fun', 'mini', 'sweet', 'treat']"
Low Drizzle,Liking,The overall flavor was really good.,49.27,6,"['overall', 'flavor', 'really', 'good']"
High Drizzle,Liking,The amount of frosting.,0,6,"['amount', 'frosting']"
High Drizzle,Liking,"Not much, its sweet so thats satisfying but its too sugary crunchy sweet and the texture is so gooey",-42.55,3,"['much', 'it\x92s', 'sweet', 'that\x92s', 'satisfy', 'it\x92s', 'sugary', 'crunchy', 'sweet', 'texture', 'gooey']"
Low Drizzle,Liking,Its sweet so I guess thats satisfying when I want a sweet treat,90.55,3,"['it\x92s', 'sweet', 'guess', 'that\x92s', 'satisfy', 'want', 'sweet', 'treat']"
Low Drizzle,Liking,Easy snack size,44.04,4,"['easy', 'snack', 'size']"
High Drizzle,Liking,Snack size,0,6,"['snack', 'size']"
High Drizzle,Liking,The size because I be able to put in a bag for snack on the go with the kids,0,8,"['size', 'able', 'put', 'bag', 'snack', 'go', 'kid']"
Low Drizzle,Liking,It was less sweet,40.33,8,"['less', 'sweet']"
Low Drizzle,Liking,Softness,0,2,['softness']
High Drizzle,Liking,Easy and portable,44.04,4,"['easy', 'portable']"
High Drizzle,Liking,The cinnamon flavor,0,6,"['cinnamon', 'flavor']"
Low Drizzle,Liking,"The cinnamon flavor, not too sweet",-35.7,7,"['cinnamon', 'flavor', 'sweet']"
Low Drizzle,Liking,Overall taste,0,5,"['overall', 'taste']"
High Drizzle,Liking,Flavor,0,7,['flavor']
High Drizzle,Liking,The cinnamon roll has very good flavor and a pleasant aftertaste. It is what I expect of a sweetness of a cinnamon roll.,86.55,3,"['cinnamon', 'roll', 'good', 'flavor', 'pleasant', 'aftertaste', 'expect', 'sweetness', 'cinnamon', 'roll']"
Low Drizzle,Liking,It is an easy treat. Eating wise it was not my favorite.,73.67,3,"['easy', 'treat', 'eat', 'wise', 'favorite']"
Low Drizzle,Liking,The softness and the chewiness,0,7,"['softness', 'chewiness']"
High Drizzle,Liking,The softness and the chewiness.  Right amount of sweetness.,49.39,8,"['softness', 'chewiness', 'right', 'amount', 'sweetness']"
High Drizzle,Liking,It was softer than I thought it would be. The icing and cinnamon were good,44.04,7,"['soft', 'thought', 'would', 'ice', 'cinnamon', 'good']"
Low Drizzle,Liking,It matched the picture   Just the right amount of frosting  Great flavor,62.49,7,"['match', 'picture', 'right', 'amount', 'frost', 'great', 'flavor']"
Low Drizzle,Liking,It has enough sweetness and a good flavor.,72.69,2,"['enough', 'sweetness', 'good', 'flavor']"
High Drizzle,Liking,It has an appropriate amount of frosting.,0,2,"['appropriate', 'amount', 'frosting']"
High Drizzle,Liking,They were much smaller than I expected. The burst of flavor in each bite was really good. The cinnamon didnt overpower overall flavor.,49.27,9,"['much', 'small', 'expect', 'burst', 'flavor', 'bite', 'really', 'good', 'cinnamon', 'didn\x92t', 'overpower', 'overall', 'flavor']"
Low Drizzle,Liking,The size are just right.,0,8,"['size', 'right']"
Low Drizzle,Liking,Cinnamon flavor was the only thing I liked about this prodict.,42.15,1,"['cinnamon', 'flavor', 'thing', 'like', 'prodict']"
High Drizzle,Liking,The frosting was the best part.,63.69,2,"['frost', 'best', 'part']"
High Drizzle,Liking,"Perfect portion size, great flavor",83.16,7,"['perfect', 'portion', 'size', 'great', 'flavor']"
Low Drizzle,Liking,Flavor was perfect. Texture was what I was hoping for. Liked that it was soft but not too chewy.,63.1,8,"['flavor', 'perfect', 'texture', 'hop', 'like', 'soft', 'chewy']"
Low Drizzle,Liking,Flavor,0,3,['flavor']
High Drizzle,Liking,Frosting,0,3,['frost']
High Drizzle,Liking,Flavor of cinnamon,0,7,"['flavor', 'cinnamon']"
Low Drizzle,Liking,Liked the visible texture,42.15,6,"['like', 'visible', 'texture']"
Low Drizzle,Liking,The size and overall concept that it is ready to eat and take on the go.,36.12,7,"['size', 'overall', 'concept', 'ready', 'eat', 'take', 'go']"
High Drizzle,Liking,The extra amount of frosting and sweet flavor.,45.88,8,"['extra', 'amount', 'frost', 'sweet', 'flavor']"
High Drizzle,Liking,The cinnamon taste,0,2,"['cinnamon', 'taste']"
Low Drizzle,Liking,This tasted very strong. The product is more of a cookie than a traditional cinnamon roll. It disappointed me. I expected warm cinnamon bites.,33.84,2,"['taste', 'strong', 'product', 'cookie', 'traditional', 'cinnamon', 'roll', 'disappoint', 'expect', 'warm', 'cinnamon', 'bite']"
Low Drizzle,Liking,Size was ok for snack,29.6,2,"['size', 'ok', 'snack']"
High Drizzle,Liking,Visually more attractive than previous sample. Frosting creates aesthetic appeal,64.78,3,"['visually', 'attractive', 'previous', 'sample', 'frost', 'creates', 'aesthetic', 'appeal']"
High Drizzle,Liking,Pre made,0,3,"['pre', 'make']"
Low Drizzle,Liking,Pre made,0,2,"['pre', 'make']"
Low Drizzle,Liking,"I loved how sweet, moist and chewy these are.  They are the perfect size and wonderful for that sweet craving as well",96.07,9,"['love', 'sweet', 'moist', 'chewy', 'perfect', 'size', 'wonderful', 'sweet', 'craving', 'well']"
High Drizzle,Liking,I like the size as it looked as it would be much larger from the photo. It had great frosting and texture,76.5,7,"['like', 'size', 'look', 'would', 'much', 'large', 'photo', 'great', 'frosting', 'texture']"
High Drizzle,Liking,So perfectly chewy. Good cinnamon flavor.,82.51,8,"['perfectly', 'chewy', 'good', 'cinnamon', 'flavor']"
Low Drizzle,Liking,The texture is so good. Chewy and moist. Cinnamon flavor is also very good. Sweet so you dont need a ton. Good small snack for kids.,92.82,6,"['texture', 'good', 'chewy', 'moist', 'cinnamon', 'flavor', 'also', 'good', 'sweet', 'don\x92t', 'need', 'ton', 'good', 'small', 'snack', 'kid']"
Low Drizzle,Liking,Small size,0,6,"['small', 'size']"
High Drizzle,Liking,Small size,0,2,"['small', 'size']"
High Drizzle,Liking,I really liked the size,47.54,7,"['really', 'liked', 'size']"
Low Drizzle,Liking,The frosting amount was perfect,57.19,8,"['frost', 'amount', 'perfect']"
Low Drizzle,Liking,That it kept it taste as if you were to bake them in the oven,0,8,"['keep', 'taste', 'bake', 'oven']"
High Drizzle,Liking,That you can taste the flavor and they are small,0,7,"['taste', 'flavor', 'small']"
High Drizzle,Liking,Easy to pick up and eat.,44.04,2,"['easy', 'pick', 'eat']"
Low Drizzle,Liking,Easy to pick up and eat.,44.04,2,"['easy', 'pick', 'eat']"
Low Drizzle,Liking,Not messy,27.55,4,['messy']
High Drizzle,Liking,Ample cinnamon flavor and visual,0,4,"['ample', 'cinnamon', 'flavor', 'visual']"
High Drizzle,Liking,Cinnamon flavor was great and frosting was sweet,79.64,6,"['cinnamon', 'flavor', 'great', 'frosting', 'sweet']"
Low Drizzle,Liking,Very soft and moist,0,6,"['soft', 'moist']"
Low Drizzle,Liking,It was moist and dense and had a good cinnamon flavor,44.04,8,"['moist', 'dense', 'good', 'cinnamon', 'flavor']"
High Drizzle,Liking,I like the strong cinnamon flavor and that it is not overly sweet,51.39,8,"['like', 'strong', 'cinnamon', 'flavor', 'overly', 'sweet']"
High Drizzle,Liking,The taste is great as well as the texture,73.51,7,"['taste', 'great', 'well', 'texture']"
Low Drizzle,Liking,Flavor,0,7,['flavor']
Low Drizzle,Liking,I like the flavor and the softness of the cinnamon roll.,36.12,5,"['like', 'flavor', 'softness', 'cinnamon', 'roll']"
High Drizzle,Liking,I like the flavor of the cinnamon roll as well as the texture.,55.74,6,"['like', 'flavor', 'cinnamon', 'roll', 'well', 'texture']"
High Drizzle,Liking,I really like the cinnamon flavor and overall taste. I especially like the texture and our kids would love these as  a special breakfast treat.,93.47,8,"['really', 'like', 'cinnamon', 'flavor', 'overall', 'taste', 'especially', 'like', 'texture', 'kid', 'would', 'love', 'special', 'breakfast', 'treat']"
Low Drizzle,Liking,"It tastes just like a mini cinnamon roll, so it met my expectations. Nice flavor, texture was a little gritty.",64.86,8,"['taste', 'like', 'mini', 'cinnamon', 'roll', 'meet', 'expectation', 'nice', 'flavor', 'texture', 'little', 'gritty']"
Low Drizzle,Liking,Frosting,0,3,['frost']
