product_code,combined_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound,combined_compound
Chobani Original,"['like', 'strawberry', 'taste', 'think', 'good', 'amount', 'sweetness', 'sweetit', 'good', 'amount', 'tartness', 'like', 'good', 'amount', 'protein', 'like', 'serve', 'size', 'perfect', 'amount', 'snack']",0.9779,,,0.9779
Chobani Smooth,"['taste', 'great', 'sweet', 'smooth']",0.7964,,,0.7964
Chobani Original,"['product', 'sweet', 'thicker', 'taste', 'thick', 'good', 'flavor', 'overall', 'something', 'would', 'eat']",0.1078,,,0.1078
Chobani Smooth,"['like', 'smooth', 'creamy', 'texture', 'awesome', 'taste', 'sweet']",0.6273,,,0.6273
Chobani Original,"['lot', 'fruit', 'cup', 'good', 'flavor', 'filling']",0.4404,,,0.4404
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Original,"['mixture', 'fruit', 'piece', 'yogurt', '120', 'calorie']",0.0,,,0.0
Chobani Smooth,"['taste', 'like', 'fresh', 'fruit', 'filling']",0.5859,,,0.5859
Chobani Original,"['texture', 'protein', 'content', 'consistency', 'real', 'fruit', 'amount', 'fullness']",0.0,,,0.0
Chobani Smooth,"['liked', 'texture', 'smooth', 'creamy', 'like', 'wasnt', 'sweet', 'clean', 'taste', 'artificial', 'unpleasant', 'aftertaste']",0.1331,,,0.1331
Chobani Original,"['think', 'actual', 'yogurt', 'good', 'creamy', 'smooth', 'fill', 'like', 'expect', 'greek', 'yogurt', 'package', 'eye', 'pleasing']",0.8316,,,0.8316
Chobani Smooth,"['smooth', 'creamy', 'less', 'sugar', 'high', 'protein', 'regular', 'yogurt', 'however', 'still', 'opt', 'greek', 'yogurt', 'bit', 'high', 'protein', 'like', 'nongmo', 'price', 'reasonable', 'like', 'fruit', 'blend']",0.6124,,,0.6124
Chobani Original,"['thick', 'creamy', 'real', 'strawberry', 'give', 'good', 'flavor', 'plus', 'chunks', 'berry', '5', 'gram', 'live', 'culture', '12', 'g', 'protein']",0.4404,,,0.4404
Chobani Smooth,"['color', 'consistency', 'big', 'chunk', 'fruit']",-0.296,,,-0.296
Chobani Original,"['lovely', 'thickness', 'product', 'really', 'liked', 'consistency', 'weight', 'felt', 'like', 'substantial', 'treat', 'fruit', 'flavor', 'add', 'pops', 'interest']",0.9422,,,0.9422
Chobani Smooth,"['texture', 'flavor', 'fruit', 'bottom']",0.0,,,0.0
Chobani Original,"['like', 'creamy', 'big', 'piece', 'fruit']",0.3612,,,0.3612
Chobani Smooth,"['smooth', 'creamy', 'right', 'amount', 'sweetness', 'overall', 'great', 'flavor']",0.8074,,,0.8074
Chobani Original,['creamy'],0.0,,,0.0
Chobani Original,['creamy'],0.0,,,0.0
Chobani Original,['creamy'],0.0,,,0.0
Chobani Original,['creamy'],0.0,,,0.0
Chobani Smooth,"['taste', 'great']",0.6588,,,0.6588
Chobani Original,"['piece', 'fruit', 'perfect', 'size', 'big', 'blend', 'well', 'yogurt']",0.7003,,,0.7003
Chobani Smooth,"['creaminess', 'little', 'tang']",0.0,,,0.0
Chobani Original,"['nongmo', 'live', 'culture', 'robiotics', 'good', 'digestion', 'health', 'make', 'wreal', 'fruit', 'cane', 'sugar', 'taste', 'texture']",0.4404,,,0.4404
Chobani Smooth,"['texture', 'flavor']",0.0,,,0.0
Chobani Original,"['taste', 'creaminess', 'good', 'like', 'little', 'chunk', 'strawberry', 'could', 'really', 'tell', 'berry', 'yogurt']",0.7159,,,0.7159
Chobani Smooth,"['creamy', 'flavorful', 'edge', 'sweet', 'fruity', 'smell', 'taste', 'bit', 'tangy', 'affordable']",-0.4973,,,-0.4973
Chobani Original,"['thickness', 'great', 'fruit', 'flavor']",0.6249,,,0.6249
Chobani Smooth,"['like', 'packaging']",0.3612,,,0.3612
Chobani Original,"['good', 'flavor', 'smooth']",0.4404,,,0.4404
Chobani Smooth,"['like', 'overall', 'strawberry', 'flavor', 'already', 'mixed', 'versus', 'fruit', 'bottom', 'stir', 'also', 'like', 'smooth', 'creamy', 'light', 'flavorful', 'filling', 'would', 'make', 'great', 'addition', 'meal', 'healthy', 'snack']",0.9081,,,0.9081
Chobani Original,"['amount', 'protein', 'lot', 'flavor']",0.0,,,0.0
Chobani Smooth,"['like', 'flavor', 'taste', 'texture', 'nice', 'smooth']",0.4767,,,0.4767
Chobani Original,"['good', 'flavor', 'like', 'fruit', 'chunk']",0.6597,,,0.6597
Chobani Smooth,"['texture', 'color', 'look', 'good']",0.4404,,,0.4404
Chobani Original,"['flavor', 'good']",0.4404,,,0.4404
Chobani Smooth,"['strawberry', 'flavor', 'good', 'also', 'tangyness', 'greek', 'yogurt', 'perfect']",0.765,,,0.765
Chobani Original,"['taste', 'like', 'actual', 'strawberry', 'unnaturally', 'pink', 'sweet', 'enough', 'yogurt', 'easy', 'get', 'there', 'lip', 'container', 'scoop']",0.7783,,,0.7783
Chobani Smooth,"['smooth', 'low', 'fat', 'small', 'chunk', 'strawberry']",-0.3353,,,-0.3353
Chobani Original,"['thick', 'creamy', 'sweet', 'slight', 'tang', 'fruit', 'bottom', 'piece', 'fruit', 'container', 'big', 'enough', 'mix', 'fruit', 'yoghurt']",-0.357,,,-0.357
Chobani Smooth,"['liked', 'texture', 'smooth', 'chunk', 'also', 'like', 'color', 'product', 'coloring', 'seem', 'natural', 'price', 'product', 'good']",0.8906,,,0.8906
Chobani Original,"['texture', 'yogurt']",0.0,,,0.0
Chobani Smooth,"['smooth', 'creamy', 'texture', 'flavor', 'sweet', 'sweet', 'overpowering']",0.4939,,,0.4939
Chobani Original,"['thick', 'creamy', 'good', 'flavor']",0.4404,,,0.4404
Chobani Smooth,"['smooth', 'tasty']",0.0,,,0.0
Chobani Original,"['thick', 'creamy', 'texture', 'pleasant', 'flavor', 'taste']",0.2732,,,0.2732
Chobani Smooth,"['smooth', 'creamy', 'lowfat', 'usually', 'funny', 'taste', 'product', 'packaging', 'appeal', 'like', 'word', 'smooth', 'highlight', 'like', 'cost', '2', '175']",0.8151,,,0.8151
Chobani Original,"['flavor', 'yogurt', 'something', 'enjoy', 'texture', 'yogurt', 'smooth']",0.4939,,,0.4939
Chobani Smooth,"['good', 'flavor', 'sweet', 'smooth', 'texture', 'like', 'state', 'package', 'often', 'nongreek', 'yogurt', 'taste', 'sugary', 'one']",0.4442,,,0.4442
Chobani Original,"['like', 'flavor', 'yougart', 'mix', 'stuff', 'packaging', 'product']",0.4215,,,0.4215
Chobani Smooth,['smooth'],0.0,,,0.0
Chobani Original,"['chunk', 'strawberry']",0.0,,,0.0
Chobani Smooth,"['creamy', 'chunk', 'real', 'fruit', '11', 'gram', 'protein']",0.0,,,0.0
Chobani Original,"['flavor', 'good', 'texture', 'creamy']",0.4404,,,0.4404
Chobani Smooth,"['really', 'taste', 'like', 'fresh', 'strawberry', 'lot', 'piece', 'fruit', 'chalky']",0.6533,,,0.6533
Chobani Original,"['strawberry', 'flavor', 'perfect', 'like', 'thick', 'consistency']",0.7579,,,0.7579
Chobani Smooth,"['love', 'strong', 'taste', 'flavor']",0.8176,,,0.8176
Chobani Original,"['love', 'texture', 'flavor', 'yogurt']",0.6369,,,0.6369
Chobani Smooth,"['creamy', 'texture', 'good', 'portion', 'size']",0.4404,,,0.4404
Chobani Original,"['taste', 'really', 'good', 'heavy', 'strawberry', 'taste', 'enough']",0.4927,,,0.4927
