product_code,combined_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound,combined_compound
Chobani Original,"['nothing', 'unexpected', 'yogurt', 'commonly', 'buy']",,0.0,,
Chobani Smooth,"['surprised', 'amount', 'creaminess', 'also', 'limit', 'number', 'chunk', 'fruit']",,0.0772,,
Chobani Original,"['nothing', 'information', 'need', 'information', 'easy', 'find']",,0.4404,,
Chobani Smooth,"['current', 'package', 'great', 'job', 'convey', 'message', 'yogurt', 'type']",,0.6249,,
Chobani Original,"['buy', 'usually', 'get', 'chobani', 'already', 'blend', 'change', 'study', 'like', 'flavor', 'yogurt', 'fruit', 'bottom', 'wasnt', 'chunky', 'expect', 'chunky', 'fruit', 'really', 'cut', 'tartness', 'much', 'plain', 'greek', 'yogurt', 'overall', 'tastier', 'expect']",,0.1045,,
Chobani Smooth,"['smooth', 'label', 'make', 'think', 'consistency', 'would', 'bite', 'thicker', 'creamy', 'still', 'good']",,0.63,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Smooth,"['yogurt', 'smoother', 'creamier', 'expect', 'packaging', 'represent', 'product']",,0.0,,
Chobani Original,"['nothing', 'think', 'package', 'suit', 'product']",,0.0,,
Chobani Smooth,"['thought', 'would', 'piece', 'fruit', 'thereeven', 'though', 'say', 'smootheit', 'much', 'fruit', 'taste', 'think', 'would', 'change', 'package', 'say', 'flavor', 'fruit']",,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Original,"['emphasize', 'nonfat', 'profit', 'well', 'world']",,0.7003,,
Chobani Smooth,"['package', 'say', 'pure', 'milk', 'real', 'fruit', 'expect', 'fruit', 'piece', 'usually', 'consider', 'blended', 'mean', 'fruit', 'piece', 'even', 'though', 'one', 'say', 'smooth', 'thought', 'would', 'bits', 'real', 'fruit', 'mention', 'package', 'otherwise', 'thought', 'package', 'describe', 'yogurt', 'well']",,0.0498,,
Chobani Original,"['large', 'freshlooking', 'strawberry', 'package', 'bit', 'misleading', 'look', 'like', 'youre', 'go', 'experience', 'fresher', 'fruit', 'jam', 'actually']",,-0.0516,,
Chobani Smooth,"['nothing', 'unexpected', 'think', 'wise', 'classic', 'underline', 'first', 'glance', 'think', 'greek', 'yogurtbut', 'assume', 'food', 'aisle', 'may', 'differentiate', 'location', 'would', 'understand']",,0.631,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Smooth,"['big', 'chunk', 'fruit', 'unexpected', 'packaging', 'say', 'nongreek', 'chobani', 'associate', 'greek', 'style', 'yogurt']",,-0.296,,
Chobani Original,"['consistency', 'smooth', 'even', 'yogurt', 'substantial', 'please', 'im', 'go', 'consume', 'something', 'represent', '5', '10', 'daily', 'caloric', 'intake', 'would', 'like', 'feel', 'substantialfilling']",,0.8067,,
Chobani Smooth,"['calorie', 'nutrition', 'information', 'package', 'look', 'right', 'away']",,-0.296,,
Chobani Original,"['long', 'take', 'mix', 'fruit']",,0.0,,
Chobani Smooth,"['well', 'flavor', 'thought', 'would']",,0.4404,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Smooth,"['well', 'chobani', 'assume', 'greek', 'yogurt', 'thick', 'like', 'greek', 'yogurt', 'throw', 'would', 'also', 'like', 'know', 'sugar', 'reduce', 'sugar', 'substitute', 'see', 'package', 'say', 'natural', 'non', 'gmo', 'id', 'still', 'like', 'see', 'ingredient', 'package', 'also', 'say', 'real', 'fruit', 'id', 'like', 'see', 'fruit']",,-0.6298,,
Chobani Original,"['aftertaste', 'usually', 'accompany', 'lot', 'greek', 'yogurt']",,-0.296,,
Chobani Smooth,"['taste', 'greek', 'concentrate', 'thicker', 'expect', 'assume', 'would', 'french', 'yoplait', 'thiner', 'style']",,0.0,,
Chobani Original,"['less', 'yogurt', 'size', 'container', 'reality', 'false', 'advertising', 'make', 'wonder', 'quality', 'downsize', 'well']",,0.2732,,
Chobani Smooth,"['like', 'product', 'package', 'except', 'seem', 'like', 'product', 'half', 'full', 'also', 'like', 'less', 'strawberry', 'piece']",,0.7579,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Smooth,"['look', 'bit', 'like', 'generic', 'brand', 'design', '2x', 'protein', 'less', 'sugar', 'nice', 'surprise', 'non', 'gmo', 'great', 'plus']",,0.8817,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Original,['nothing'],,0.0,,
Chobani Smooth,"['product', 'neither', 'smooth', 'mild', 'container', 'label', 'state']",,0.0,,
Chobani Original,"['dint', 'think', 'would', 'like', 'taste', 'much']",,-0.1419,,
Chobani Smooth,"['eaten', 'quite', 'bit', 'chobani', 'greek', 'yogurt', 'past', 'expect', 'smooth', 'even', 'though', 'package', 'expressly', 'state', 'smooth', 'like', 'classic', 'yogurt']",,0.3612,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Smooth,"['thought', 'would', 'thicker']",,0.0,,
Chobani Original,"['mix', 'eat', 'fruit', 'bottom']",,0.0,,
Chobani Smooth,"['thought', 'would', 'sweeter']",,0.0,,
Chobani Original,"['little', 'thinner', 'greek', 'yogurt']",,0.0,,
Chobani Smooth,"['tangyness', 'unexpected', 'good', 'way', 'package', 'set', 'expectation', 'inside']",,0.4404,,
Chobani Original,"['didnt', 'realize', 'nongmo', 'product', 'dont', 'think', 'ive', 'heard', 'evaporate', 'cane', 'sugar', 'ingredient', 'appreciate', 'slogan', 'punctuate', 'correctly', 'period', 'inside', 'quotation', 'mark', 'believe', 'fruit', 'come', 'piece', 'flavor']",,0.4019,,
Chobani Smooth,"['think', 'good', 'job', 'represent', 'much', 'smoother', 'usually', 'purchase', 'like', 'big', 'state', 'smooth']",,0.6597,,
Chobani Original,"['find', 'anything', 'unexpected']",,0.0,,
Chobani Smooth,"['overpower', 'taste', 'sour', 'milk', 'really', 'could', 'get', 'past']",,0.0,,
Chobani Original,"['like', 'picture', 'strawberry', 'tell', 'inside']",,0.3612,,
Chobani Smooth,"['somewhat', 'expect', 'piece', 'fruit', 'even', 'small', 'piece']",,0.0,,
Chobani Original,"['think', 'maybe', 'sugar', 'content', 'also', 'first', 'open', 'container', 'separation', 'appeal']",,0.0,,
Chobani Smooth,"['contain', '2x', 'protein']",,0.0,,
Chobani Original,"['impressed', '15', 'calcium', 'great', 'taste', '0', 'milk', 'fat']",,0.8172,,
Chobani Smooth,"['yogurt', 'aftertaste', 'often', 'common', 'lowfat', 'product', 'package', 'show', 'word', 'lowfat', 'well', 'may', 'make', 'difference', 'many']",,0.4404,,
Chobani Original,"['think', 'package', 'good', 'job', 'represent', 'yogurt']",,0.4404,,
Chobani Smooth,"['packaging', 'represent', 'product', 'well', 'found', 'unexpected', 'sweetness', 'good', 'fruit', 'flavor', 'wasnt', 'overpower', 'sugar', 'taste']",,0.802,,
Chobani Original,"['unexpected', 'amoun', 'small', 'amount', 'yougart', 'actual', 'container', 'would', 'change', 'nothing', 'packaging']",,0.0,,
Chobani Smooth,"['smooth', 'yogurt']",,0.0,,
Chobani Smooth,"['smooth', 'yogurt']",,0.0,,
Chobani Original,"['nothing', 'unexpected', 'like', 'info', 'packaging']",,-0.2755,,
Chobani Smooth,"['real', 'chunk', 'strawberry']",,0.0,,
Chobani Original,"['flavor', 'well', 'remember', 'chobani', 'taste', 'past']",,0.4404,,
Chobani Smooth,"['expect', 'great', 'flavor', 'really', 'stood', 'package', 'really', 'hard', 'read', 'ingredient', 'nutrition', 'label', 'res', 'white', 'write', 'really', 'hard', 'see']",,0.5406,,
Chobani Original,"['would', 'change', 'price', 'seem', 'high', 'one']",,0.0,,
Chobani Smooth,"['like', 'yogurt', 'inside', 'present', 'outside', 'package']",,0.3612,,
Chobani Original,"['nothing', 'think', 'package', 'describes', 'product', 'well']",,0.3384,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Original,"['think', 'fruit', 'bottom', 'might', 'bad', 'taste', 'texture', 'apprehensive', 'first', 'wastn']",,-0.3071,,
Chobani Smooth,"['smooth', 'creamy']",,0.0,,
Chobani Smooth,"['smooth', 'creamy']",,0.0,,
Chobani Original,"['everything', 'expect']",,0.0,,
Chobani Smooth,"['label', 'ok']",,0.296,,
Chobani Original,"['make', 'strawberry', 'flavor', 'well', 'add', 'bottom', 'cup']",,0.4404,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Smooth,"['sweeter', 'expect']",,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Original,['nan'],,0.0,,
Chobani Smooth,"['thought', 'would', 'thicker', 'texture']",,0.0,,
Chobani Original,"['packaging', 'seem', 'fine']",,0.2023,,
Chobani Smooth,"['packaging', 'look', 'cheap', 'look', 'exactly', 'like', 'anything', 'target', 'brand', 'barely', 'see', 'chobani', 'logo', 'would', 'pick', 'yogurt', 'store', 'would', 'probably', 'walk', 'think', 'target', 'start', 'yogurt']",,0.3612,,
Chobani Original,"['sweetnesssweeter', 'expect']",,0.0,,
Chobani Smooth,[],,0.0,,
Chobani Smooth,[],,0.0,,
Chobani Original,"['package', 'seem', 'pretty', 'clear', 'expect']",,0.7003,,
Chobani Smooth,"['taste', 'flavor', 'fruit']",,0.0,,
Chobani Original,"['didnt', 'realize', 'much', 'protein', 'product', 'thats', 'good', 'thing', 'stand', 'package']",,0.4404,,
Chobani Smooth,"['smoother', 'thick', 'yogurt', 'great', 'flavor']",,0.6249,,
Chobani Original,"['fruity', 'would', 'like']",,0.4215,,
Chobani Smooth,"['like', 'package', 'colorful', 'playful', 'information', 'however', 'word', 'classic', 'doesnt', 'resonate', 'ive', 'see', 'company', 'use', 'original', 'classic', 'wasnt', 'user', 'original', 'recipe', 'dont', 'care', 'perhaps', 'natural', 'would', 'good', 'option', 'maybe', 'coin', 'term', 'make', 'greeklike', 'like', 'package', 'colorful', 'doesnt', 'match', 'almost', 'white', 'product', 'inside', 'think', 'thats', 'ok', 'saw', 'someone', 'hold', 'bright', 'red', 'container', 'would', 'want', 'know', 'eat', 'mention', 'like', 'product']",,0.95,,
Chobani Smooth,"['fake', 'flavor', 'taste', 'almost', 'chemical']",,-0.5256,,
Chobani Smooth,"['flavor', 'unexpected']",,0.0,,
Chobani Smooth,"['fill', 'replace', 'word', 'smooth', 'top', 'package', 'low', 'fat', 'classic', 'yogurt', 'make', 'low', 'fat', 'visible']",,-0.34,,
Chobani Smooth,[],,0.0,,
Chobani Smooth,[],,0.0,,
Chobani Smooth,"['nothing', 'wrong', 'packaging']",,0.3724,,
Chobani Smooth,"['nutrition', 'label']",,-0.296,,
Chobani Smooth,"['need', 'real', 'fruit']",,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,"['lowfat', 'taste', 'like', 'regular', 'yogurt']",,0.5023,,
Chobani Smooth,"['much', 'flavor', 'little', 'runny']",,0.0,,
Chobani Smooth,"['add', 'nutrition', 'information']",,0.0,,
Chobani Smooth,"['sweet', 'enough', 'guess', 'package', 'say', 'less', 'sugar', 'didnt', 'realize', 'would', 'impact', 'taste', 'much']",,-0.1877,,
Chobani Smooth,"['something', 'make', 'aware', 'isnt', 'greek', 'yogurt']",,0.0,,
Chobani Smooth,"['package', 'could', 'say', 'something', 'like', 'like', 'yogurt', 'smooth']",,0.6124,,
Chobani Smooth,"['look', 'consistency', 'yogurt']",,0.0,,
Chobani Smooth,"['tartness', 'way', 'classic', 'probably', 'conveys', 'outright']",,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,['nan'],,0.0,,
Chobani Smooth,"['smooth', 'yogurt']",,0.0,,
Chobani Smooth,"['smooth', 'yogurt']",,0.0,,
Chobani Smooth,['na'],,0.0,,
Chobani Smooth,['na'],,0.0,,
Chobani Smooth,['na'],,0.0,,
Chobani Smooth,['na'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,"['first', 'think', 'would', 'plain', 'low', 'fat', 'design', 'remind', 'greek', 'yogurt']",,-0.2732,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,['nothing'],,0.0,,
Chobani Smooth,"['like', 'little', 'thought', 'would']",,0.4215,,
Chobani Smooth,"['sour', 'tart', 'rich', 'flavor']",,0.5574,,
Chobani Smooth,"['smooth', 'creamy']",,0.0,,
Chobani Smooth,"['smooth', 'creamy']",,0.0,,
Chobani Smooth,"['think', 'think', 'would', 'standard', 'yogurt', 'taste', 'even', 'tho', 'make', 'chobani', 'dont', 'mind', 'greek', 'yogurt', 'person', 'like', 'might', 'disappoint', 'flavor']",,-0.7792,,
Chobani Smooth,"['good', 'taste', 'less', 'sugar', 'product']",,0.4404,,
Chobani Smooth,"['name', 'expect', 'really', 'smooth', 'good', 'texture', 'really', 'didnt']",,0.4404,,
Chobani Smooth,"['package', 'say', 'classic', 'yogurt', 'doesnt', 'taste', 'like', 'classic', 'yogurt', 'would', 'consider', 'yoplait', 'dannon', 'etc']",,-0.395,,
Chobani Smooth,"['think', 'packaging', 'appeal']",,0.0,,
Chobani Smooth,"['include', 'greek', 'yougurt', 'label', 'info']",,0.0,,
Chobani Smooth,"['think', 'packaging', 'good', 'would', 'like', 'see', 'ingredient', 'list', 'cover', 'toss']",,0.6908,,
Chobani Smooth,"['regular', 'yogurt', 'greek', 'yogurt']",,0.0,,
Chobani Smooth,"['package', 'say', 'smooth', 'thick', 'classic', 'smooth']",,0.0,,
Chobani Smooth,"['container', '12', 'full', 'first', 'surprise', 'second', 'surprise', 'fact', 'yogurt', 'gray', 'color', 'add', 'strawberry', 'would', 'make', 'pink', 'dont', 'use', 'food', 'coloring', 'add', 'couple', 'strawberry', 'suddenly', 'pink']",,0.4939,,
Chobani Smooth,"['nothing', 'unexpected', 'might', 'add', 'little', 'sweetner', 'bit', 'tart']",,0.0,,
Chobani Smooth,"['much', 'red', 'outside', 'container']",,0.0,,
Chobani Smooth,['change'],,-0.296,,
Chobani Smooth,"['smooth', 'creamy', 'right', 'package', 'truthful', 'change', 'need']",,0.2714,,
Chobani Smooth,"['wouldnt', 'change', 'anything', 'packaging']",,0.0,,
Chobani Smooth,"['wouldnt', 'change', 'anything', 'packaging']",,0.0,,
Chobani Smooth,"['packaging', 'state', 'full', 'real', 'fruit', 'none', 'visible', 'also', 'surprise', 'see', 'package', 'contain', '2', 'serving', 'seem', 'mislead', 'would', 'likely', 'eat']",,-0.2023,,
Chobani Smooth,"['flavor', 'quite', 'good', 'low', 'fat', 'product']",,0.2716,,
Chobani Smooth,"['little', 'thin', 'yogurt']",,0.0,,
Chobani Smooth,"['flavor', 'sour', 'tasting']",,0.0,,
Chobani Smooth,"['expect', 'tart', 'wasnt']",,0.0,,
Chobani Smooth,"['good', 'packaging']",,0.4404,,
Chobani Smooth,"['wouldnt', 'change', 'anything', 'packaging']",,0.0,,
Chobani Smooth,"['wouldnt', 'change', 'anything', 'packaging']",,0.0,,
Chobani Smooth,"['thought', 'would', 'chunk', 'strawberry']",,0.0,,
Chobani Smooth,"['flavor', 'much', 'well', 'expect', 'taste', 'packaging', 'nice', 'bright', 'color']",,0.8225,,
Chobani Smooth,"['think', 'package', 'good', 'honest', 'represent', 'exactly', 'inside']",,0.7764,,
Chobani Smooth,"['expect', 'taste', 'like', 'greek', 'yogurt', 'container', 'taste', 'like', 'regular', 'yogurt', 'prefer']",,0.6794,,
Chobani Smooth,"['much', 'fruit']",,0.0,,
Chobani Original,['thicker'],,,0.0,0.0
Chobani Smooth,"['could', 'use', 'little', 'extra', 'flavor']",,,0.0,0.0
Chobani Original,"['really', 'enjoy', 'yogurt', 'would', 'keep']",,,0.5413,0.5413
Chobani Smooth,"['large', 'container', 'variety']",,,0.0,0.0
Chobani Original,"['im', 'real', 'fan', 'fruit', 'u', 'stir', 'product', 'tore', 'cover', 'top', 'product', 'bit', 'watery', 'look', 'little', 'separated']",,,-0.0418,-0.0418
Chobani Smooth,"['sweet', 'way', 'sweet', 'would', 'buy', '19', 'gram', 'sugar', 'feel', 'though', 'protein', 'content', 'meet', 'exceed', 'amount', 'sugar', 'container', 'yogurt']",,,0.7424,0.7424
Chobani Original,"['would', 'prefer', 'slightly', 'fruit']",,,0.0,0.0
Chobani Smooth,"['watery', 'open', 'lid', 'water', 'splash', 'even', 'mixed', 'together', 'runny']",,,0.0,0.0
Chobani Original,"['eliminate', 'least', 'reduce', 'added', 'cane', 'sugar']",,,0.0,0.0
Chobani Smooth,"['would', 'like', 'little', 'thicker', 'also', 'morelarger', 'fruit', 'piece', 'since', 'packaging', 'say', 'real', 'fruit', 'didnt', 'much', 'fruit', 'sample']",,,0.3612,0.3612
Chobani Original,"['nothing', 'come', 'mind']",,,0.0,0.0
Chobani Smooth,"['would', 'make', 'thicker', 'watery']",,,0.0,0.0
Chobani Original,"['almost', 'tartyogurty', 'taste', 'woudl', 'prefer', 'mix', 'yogurt', 'first', 'view', 'product', 'somewhat', 'unpleasant', 'watery', 'chunky']",,,-0.4228,-0.4228
Chobani Smooth,"['subtract', 'bit', 'fruit', 'product', 'since', 'dont', 'feel', 'many', 'fruit', 'bite', 'anyways', 'make', 'less', 'sweet', 'place', 'nutrition', 'fact', 'container']",,,0.4033,0.4033
Chobani Original,"['color', 'brighter', 'pink', 'sweeter']",,,0.3818,0.3818
Chobani Smooth,"['nothing', 'like', 'low', 'sugar', 'yogurt', 'protein']",,,-0.5122,-0.5122
Chobani Original,['perfect'],,,0.5719,0.5719
Chobani Smooth,"['need', 'mix', 'get', 'product', 'distribute', 'evenly']",,,0.0,0.0
Chobani Original,"['would', 'love', 'see', 'sugar', '12', 'gram']",,,0.6369,0.6369
Chobani Smooth,['protein'],,,0.0,0.0
Chobani Original,"['personally', 'didnt', 'think', 'product', 'pleasant', 'look', 'upon', 'stir', 'didnt', 'think', 'fruit', 'look', 'fresh', 'tasty']",,,0.7089,0.7089
Chobani Smooth,"['viscous', 'less', 'runny']",,,0.0,0.0
Chobani Original,"['strawberry', 'chunk']",,,0.0,0.0
Chobani Smooth,"['sour', 'thin', 'runny', 'remind', 'little', 'one', 'drinkable', 'yogurt', 'small', 'child']",,,0.0,0.0
Chobani Original,"['strawberry', 'piece', 'seem', 'limpoverly', 'ripemushy', 'texture', 'hard', 'tell', 'yogurt', 'strawberry', 'flavoralmost', 'gelatin', 'taste']",,,-0.1027,-0.1027
Chobani Smooth,"['make', 'sweet', 'add', 'fruit']",,,-0.5288,-0.5288
Chobani Original,"['little', 'sour', 'tasting']",,,0.0,0.0
Chobani Smooth,"['slight', 'tanginess', 'bitterness', 'sweet', 'finish', 'need', 'sweetness', 'noticeable', 'tang']",,,0.3392,0.3392
Chobani Original,"['less', 'amount', 'strawberry', 'mix', 'seed', 'bother', 'little']",,,-0.3182,-0.3182
Chobani Smooth,"['little', 'thicker']",,,0.0,0.0
Chobani Original,"['size', 'container', 'fit', 'amount', 'yogurt', 'either', 'make', 'cup', 'small', 'put', 'yogurt', 'cup']",,,0.3612,0.3612
Chobani Smooth,"['make', 'filling', 'would', 'eat', 'feel', 'like', 'half', 'full']",,,0.3612,0.3612
Chobani Original,"['little', 'sweeter', 'strawberry', 'chunk', 'bottom', 'cup']",,,0.0,0.0
Chobani Smooth,"['small', 'fruit', 'chunk', 'like', 'especially', 'market', 'smooth']",,,-0.2755,-0.2755
Chobani Original,"['would', 'change', 'texture', 'strawberry', 'jelly', 'felttasted', 'fake', 'artificial']",,,-0.4767,-0.4767
Chobani Smooth,"['increase', 'strawberry', 'flavor', 'little']",,,0.3182,0.3182
Chobani Original,"['like', 'would', 'prefer', 'slightly', 'bit', 'smooth', 'yogurt', 'would', 'prevent', 'buying', 'future', 'great', 'product']",,,0.8216,0.8216
Chobani Smooth,"['im', 'sure', 'would', 'change', 'anything', 'would', 'like', 'good', 'greek']",,,0.5327,0.5327
Chobani Original,"['would', 'nice', 'strawberry', 'piece']",,,0.4215,0.4215
Chobani Smooth,"['would', 'like', 'see', 'piece', 'fruit', 'yogurt', 'seem', 'sort', 'skimpy', 'number', 'fruit', 'piece']",,,0.4215,0.4215
Chobani Original,"['would', 'rather', 'strawberry', 'mixed', 'yogurt', 'fruit', 'bottom', 'dont', 'like', 'big', 'strawberry', 'piece', 'fruit', 'bottom', 'firm', 'fresh', 'taste']",,,-0.4717,-0.4717
Chobani Smooth,"['would', 'love', 'see', 'fruit', 'chunk', 'add', 'would', 'help', 'bring', 'flavor', 'enhance', 'even']",,,0.7845,0.7845
Chobani Original,"['didnt', 'love', 'chunk', 'like', 'fruit', 'bottom', 'smooth', 'quite', 'bit', 'sugar15g', 'per', 'serve', 'would', 'like']",,,0.1611,0.1611
Chobani Smooth,"['little', 'runny', 'maybe', 'bit', 'thick', 'fruit', 'chunk']",,,0.0,0.0
Chobani Original,"['consistency', 'strawberry', 'bottom', 'might', 'little', 'thick']",,,0.0,0.0
Chobani Smooth,"['would', 'enjoy', 'fruit', 'chunk', 'yogurt', 'everything', 'else', 'like']",,,0.705,0.705
Chobani Original,"['always', 'fruit']",,,0.0,0.0
Chobani Smooth,"['aftertaste', 'need', 'fruit', 'mixed']",,,0.0,0.0
Chobani Original,"['prestirred', 'mix', 'fruit', 'piece', 'yogurt']",,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Smooth,['nothing'],,,0.0,0.0
Chobani Original,"['real', 'fruit']",,,0.0,0.0
Chobani Smooth,"['would', 'like', 'little', 'bit', 'fruit', 'flavor', 'piece', 'fruit']",,,0.3612,0.3612
